Program	Code	Mnemonic	Summary	Severity	HelpLink
C# Compiler	CS0123	MethDelegateMismatch	No overload for 'method' matches delegate 'delegate'	Error	https://msdn.microsoft.com/en-us/library/5d8fk6ew(v=vs.90).aspx
C# Compiler	CS0126	RetObjectRequired	An object of a type convertible to 'type' is required	Error	https://msdn.microsoft.com/en-us/library/ekckz6b8(v=vs.90).aspx
C# Compiler	CS0127	RetNoObjectRequired	Since 'function' returns void, a return keyword must not be followed by an object expression	Error	https://msdn.microsoft.com/en-us/library/wttka33z(v=vs.90).aspx
C# Compiler	CS0128	LocalDuplicate	A local variable named 'variable' is already defined in this scope	Error	https://msdn.microsoft.com/en-us/library/ada6dw95(v=vs.90).aspx
C# Compiler	CS0131	AssgLvalueExpected	The left-hand side of an assignment must be a variable, property or indexer	Error	https://msdn.microsoft.com/en-us/library/x5s08de8(v=vs.90).aspx
C# Compiler	CS0132	StaticConstParam	'constructor' : a static constructor must be parameterless	Error	https://msdn.microsoft.com/en-us/library/zbs4dc58(v=vs.90).aspx
C# Compiler	CS0133	NotConstantExpression	The expression being assigned to 'variable' must be constant	Error	https://msdn.microsoft.com/en-us/library/5st585s7(v=vs.90).aspx
C# Compiler	CS0134	NotNullConstRefField	'variable' is of type 'type'. A const field of a reference type other than string can only be initialized with null.	Error	https://msdn.microsoft.com/en-us/library/ms228606(v=vs.90).aspx
C# Compiler	CS0135	NameIllegallyOverrides	'declaration1' conflicts with the declaration 'declaration2'	Error	https://msdn.microsoft.com/en-us/library/444w1dwy(v=vs.90).aspx
C# Compiler	CS0136	LocalIllegallyOverrides	A local variable named 'var' cannot be declared in this scope because it would give a different meaning to 'var', which is already used in a 'parent or current/child' scope to denote something else	Error	https://msdn.microsoft.com/en-us/library/973aa6bt(v=vs.90).aspx
C# Compiler	CS0138	BadUsingNamespace	A using namespace directive can only be applied to namespaces; 'type' is a type not a namespace	Error	https://msdn.microsoft.com/en-us/library/56f5tcyz(v=vs.90).aspx
C# Compiler	CS0139	NoBreakOrCont	No enclosing loop out of which to break or continue	Error	https://msdn.microsoft.com/en-us/library/wyzw3h9b(v=vs.90).aspx
C# Compiler	CS0140	DuplicateLabel	The label 'label' is a duplicate	Error	https://msdn.microsoft.com/en-us/library/03xxxhyf(v=vs.90).aspx
C# Compiler	CS0143	NoConstructors	The type 'class' has no constructors defined	Error	https://msdn.microsoft.com/en-us/library/7z6fxc01(v=vs.90).aspx
C# Compiler	CS0144	NoNewAbstract	Cannot create an instance of the abstract class or interface 'interface'	Error	https://msdn.microsoft.com/en-us/library/43fx54fz(v=vs.90).aspx
C# Compiler	CS0145	ConstValueRequired	A const field requires a value to be provided	Error	https://msdn.microsoft.com/en-us/library/7k1wd51e(v=vs.90).aspx
C# Compiler	CS0146	CircularBase	Circular base class dependency involving 'class1' and 'class2'	Error	https://msdn.microsoft.com/en-us/library/kty4k630(v=vs.90).aspx
C# Compiler	CS0148	BadDelegateConstructor	The delegate 'delegate' does not have a valid constructor	Error	https://msdn.microsoft.com/en-us/library/bs8zxhyf(v=vs.90).aspx
C# Compiler	CS0149	MethodNameExpected	Method name expected	Error	https://msdn.microsoft.com/en-us/library/03fcc1yx(v=vs.90).aspx
C# Compiler	CS0150	ConstantExpected	A constant value is expected	Error	https://msdn.microsoft.com/en-us/library/6weteh5e(v=vs.90).aspx
C# Compiler	CS0151	SwitchGoverningTypeValueExpected	A value of an integral type expected	Error	https://msdn.microsoft.com/en-us/library/dh0x1stb(v=vs.90).aspx
C# Compiler	CS0152	DuplicateCaseLabel	The label 'label' already occurs in this switch statement	Error	https://msdn.microsoft.com/en-us/library/b30519xc(v=vs.90).aspx
C# Compiler	CS0153	InvalidGotoCase	A goto case is only valid inside a switch statement	Error	https://msdn.microsoft.com/en-us/library/zke604wh(v=vs.90).aspx
C# Compiler	CS0154	PropertyLacksGet	The property or indexer 'property' cannot be used in this context because it lacks the get accessor	Error	https://msdn.microsoft.com/en-us/library/s8cktb3y(v=vs.90).aspx
C# Compiler	CS0155	BadExceptionType	The type caught or thrown must be derived from System.Exception	Error	https://msdn.microsoft.com/en-us/library/ycy5tssa(v=vs.90).aspx
C# Compiler	CS0156	BadEmptyThrow	A throw statement with no arguments is not allowed in a finally clause that is nested inside the nearest enclosing catch clause	Error	https://msdn.microsoft.com/en-us/library/w5es5s8w(v=vs.90).aspx
C# Compiler	CS0157	BadFinallyLeave	Control cannot leave the body of a finally clause	Error	https://msdn.microsoft.com/en-us/library/0hbbzekw(v=vs.90).aspx
C# Compiler	CS0158	LabelShadow	The label 'label' shadows another label by the same name in a contained scope	Error	https://msdn.microsoft.com/en-us/library/1sfytc62(v=vs.90).aspx
C# Compiler	CS0159	LabelNotFound	No such label 'label' within the scope of the goto statement	Error	https://msdn.microsoft.com/en-us/library/hak1fc9d(v=vs.90).aspx
C# Compiler	CS0160	UnreachableCatch	A previous catch clause already catches all exceptions of this or of a super type ('type')	Error	https://msdn.microsoft.com/en-us/library/hxs37t55(v=vs.90).aspx
C# Compiler	CS0161	ReturnExpected	'method': not all code paths return a value	Error	https://msdn.microsoft.com/en-us/library/87cz4k9t(v=vs.90).aspx
C# Compiler	CS0162	UnreachableCode	Unreachable code detected	Warning (level 2)	https://msdn.microsoft.com/en-us/library/c0h4st1x(v=vs.90).aspx
C# Compiler	CS0163	SwitchFallThrough	Control cannot fall through from one case label ('label') to another	Error	https://msdn.microsoft.com/en-us/library/843c4c28(v=vs.90).aspx
C# Compiler	CS0164	UnreferencedLabel	This label has not been referenced	Warning (level 2)	https://msdn.microsoft.com/en-us/library/1k8ft9ad(v=vs.90).aspx
C# Compiler	CS0165	UseDefViolation	Use of unassigned local variable 'name'	Error	https://msdn.microsoft.com/en-us/library/4y7h161d(v=vs.90).aspx
C# Compiler	CS0167	NoInvoke	The delegate 'delegate' is missing the Invoke method	Error	https://msdn.microsoft.com/en-us/library/c8z0x3k8(v=vs.90).aspx
C# Compiler	CS0168	UnreferencedVar	The variable 'var' is assigned but its value is never used	Warning (level 3)	https://msdn.microsoft.com/en-us/library/tf85t6e4(v=vs.90).aspx
C# Compiler	CS0169	UnreferencedField	The private field 'class member' is never used	Warning (level 3)	https://msdn.microsoft.com/en-us/library/x7sk421w(v=vs.90).aspx
C# Compiler	CS0170	UseDefViolationField	Use of possibly unassigned field 'field'	Error	https://msdn.microsoft.com/en-us/library/829s64e2(v=vs.90).aspx
C# Compiler	CS0171	UnassignedThis	Backing field for automatically implemented property 'name' must be fully assigned before control is returned to the caller. Consider calling the default constructor from a constructor initializer.	Error	https://msdn.microsoft.com/en-us/library/s1kbc6yx(v=vs.90).aspx
C# Compiler	CS0172	AmbigQM	Type of conditional expression cannot be determined because 'type1' and 'type2' implicitly convert to one another	Error	https://msdn.microsoft.com/en-us/library/1yaky37f(v=vs.90).aspx
C# Compiler	CS0173	InvalidQM	Type of conditional expression cannot be determined because there is no implicit conversion between 'class1' and 'class2'	Error	https://msdn.microsoft.com/en-us/library/hb47kt2f(v=vs.90).aspx
C# Compiler	CS0174	NoBaseClass	A base class is required for a 'base' reference	Error	https://msdn.microsoft.com/en-us/library/0bcx1w33(v=vs.90).aspx
C# Compiler	CS0175	BaseIllegal	Use of keyword 'base' is not valid in this context	Error	https://msdn.microsoft.com/en-us/library/4f2s8h1k(v=vs.90).aspx
C# Compiler	CS0176	ObjectProhibited	Static member 'member' cannot be accessed with an instance reference; qualify it with a type name instead	Error	https://msdn.microsoft.com/en-us/library/zhcxt2bd(v=vs.90).aspx
C# Compiler	CS0177	ParamUnassigned	The out parameter 'parameter' must be assigned to before control leaves the current method	Error	https://msdn.microsoft.com/en-us/library/8fzd768w(v=vs.90).aspx
C# Compiler	CS0178	InvalidArray	Invalid rank specifier: expected ',' or ']'	Error	https://msdn.microsoft.com/en-us/library/b6ax0bze(v=vs.90).aspx
C# Compiler	CS0179	ExternHasBody	'member' cannot be extern and declare a body	Error	https://msdn.microsoft.com/en-us/library/xk38stck(v=vs.90).aspx
C# Compiler	CS0180	AbstractAndExtern	'member' cannot be both extern and abstract	Error	https://msdn.microsoft.com/en-us/library/hytz61xx(v=vs.90).aspx
C# Compiler	CS0182	BadAttributeArgument	An attribute argument must be a constant expression, typeof expression or array creation expression of an attribute parameter type	Error	https://msdn.microsoft.com/en-us/library/09ze6t76(v=vs.90).aspx
C# Compiler	CS0183	IsAlwaysTrue	The given expression is always of the provided ('type') type	Warning (level 1)	https://msdn.microsoft.com/en-us/library/sb7782xb(v=vs.90).aspx
C# Compiler	CS0184	IsAlwaysFalse	The given expression is never of the provided ('type') type	Warning (level 1)	https://msdn.microsoft.com/en-us/library/230kb9yt(v=vs.90).aspx
C# Compiler	CS0185	LockNeedsReference	'type' is not a reference type as required by the lock statement	Error	https://msdn.microsoft.com/en-us/library/tc4e18b4(v=vs.90).aspx
C# Compiler	CS0186	NullNotValid	Use of null is not valid in this context 	Error	https://msdn.microsoft.com/en-us/library/19w6t732(v=vs.90).aspx
C# Compiler	CS0188	UseDefViolationThis	The 'this' object cannot be used before all of its fields are assigned to	Error	https://msdn.microsoft.com/en-us/library/w29h4276(v=vs.90).aspx
C# Compiler	CS0191	AssgReadonly	Property or indexer 'name' cannot be assigned to -- it is read only	Error	https://msdn.microsoft.com/en-us/library/03z21wxa(v=vs.90).aspx
C# Compiler	CS0192	RefReadonly	Fields of static readonly field 'name' cannot be passed ref or out (except in a static constructor)	Error	https://msdn.microsoft.com/en-us/library/sa4td06k(v=vs.90).aspx
C# Compiler	CS0193	PtrExpected	The * or -&gt; operator must be applied to a pointer	Error	https://msdn.microsoft.com/en-us/library/621kbhss(v=vs.90).aspx
C# Compiler	CS0196	PtrIndexSingle	A pointer must be indexed by only one value	Error	https://msdn.microsoft.com/en-us/library/zty61tw9(v=vs.90).aspx
C# Compiler	CS0197	ByRefNonAgileField	Passing 'argument' as ref or out or taking its address may cause a runtime exception because it is a field of a marshal-by-reference class	Warning (level 1)	https://msdn.microsoft.com/en-us/library/y545659k(v=vs.90).aspx
C# Compiler	CS0198	AssgReadonlyStatic	Fields of static readonly field 'name' cannot be assigned to (except in a static constructor or a variable initializer)	Error	https://msdn.microsoft.com/en-us/library/xd8k5h12(v=vs.90).aspx
C# Compiler	CS0199	RefReadonlyStatic	Fields of static readonly field 'name' cannot be passed ref or out (except in a static constructor)	Error	https://msdn.microsoft.com/en-us/library/wdtz637w(v=vs.90).aspx
C# Compiler	CS0200	AssgReadonlyProp	Property or indexer 'property' cannot be assigned to - it is read only	Error	https://msdn.microsoft.com/en-us/library/fd8axwct(v=vs.90).aspx
C# Compiler	CS0201	IllegalStatement	Only assignment, call, increment, decrement, and new object expressions can be used as a statement	Error	https://msdn.microsoft.com/en-us/library/k626bk8b(v=vs.90).aspx
C# Compiler	CS0202	BadGetEnumerator	foreach requires that the return type 'type' of 'type.GetEnumerator()' must have a suitable public MoveNext method and public Current property	Error	https://msdn.microsoft.com/en-us/library/ty55f89b(v=vs.90).aspx
C# Compiler	CS0204	TooManyLocals	Only 65534 locals are allowed	Error	https://msdn.microsoft.com/en-us/library/85e6hz4a(v=vs.90).aspx
C# Compiler	CS0205	AbstractBaseCall	Cannot call an abstract base member: 'method'	Error	https://msdn.microsoft.com/en-us/library/b307b7dc(v=vs.90).aspx
C# Compiler	CS0206	RefProperty	A property or indexer may not be passed as an out or ref parameter	Error	https://msdn.microsoft.com/en-us/library/4xd8bbw5(v=vs.90).aspx
C# Compiler	CS0208	ManagedAddr	Cannot take the address of, get the size of, or declare a pointer to a managed type ('type')	Error	https://msdn.microsoft.com/en-us/library/x2estayf(v=vs.90).aspx
C# Compiler	CS0209	BadFixedInitType	The type of local declared in a fixed statement must be a pointer type	Error	https://msdn.microsoft.com/en-us/library/xa9b2xdz(v=vs.90).aspx
C# Compiler	CS0210	FixedMustInit	You must provide an initializer in a fixed or using statement declaration	Error	https://msdn.microsoft.com/en-us/library/b78f7x9w(v=vs.90).aspx
C# Compiler	CS0211	InvalidAddrOp	Cannot take the address of the given expression	Error	https://msdn.microsoft.com/en-us/library/sy4at6sb(v=vs.90).aspx
C# Compiler	CS0212	FixedNeeded	You can only take the address of an unfixed expression inside of a fixed statement initializer	Error	https://msdn.microsoft.com/en-us/library/29ak9b70(v=vs.90).aspx
C# Compiler	CS0213	FixedNotNeeded	You cannot use the fixed statement to take the address of an already fixed expression	Error	https://msdn.microsoft.com/en-us/library/9beaw6ss(v=vs.90).aspx
C# Compiler	CS0214	UnsafeNeeded	Pointers and fixed size buffers may only be used in an unsafe context	Error	https://msdn.microsoft.com/en-us/library/30ews7ac(v=vs.90).aspx
C# Compiler	CS0215	OpTFRetType	The return type of operator True or False must be bool	Error	https://msdn.microsoft.com/en-us/library/wdaf529d(v=vs.90).aspx
C# Compiler	CS0216	OperatorNeedsMatch	The operator 'operator' requires a matching operator 'missing_operator' to also be defined	Error	https://msdn.microsoft.com/en-us/library/7bxsh36e(v=vs.90).aspx
C# Compiler	CS0217	BadBoolOp	In order to be applicable as a short circuit operator a user-defined logical operator ('operator') must have the same return type as the type of its 2 parameters.	Error	https://msdn.microsoft.com/en-us/library/8651yb0x(v=vs.90).aspx
C# Compiler	CS0218	MustHaveOpTF	The type ('type') must contain declarations of operator true and operator false	Error	https://msdn.microsoft.com/en-us/library/93z43h7f(v=vs.90).aspx
C# Compiler	CS0219	UnreferencedVarAssg	The variable 'variable' is assigned but its value is never used	Warning (level 3)	https://msdn.microsoft.com/en-us/library/4kycwe2x(v=vs.90).aspx
C# Compiler	CS0220	CheckedOverflow	The operation overflows at compile time in checked mode	Error	https://msdn.microsoft.com/en-us/library/y169h3te(v=vs.90).aspx
C# Compiler	CS0221	ConstOutOfRangeChecked	Constant value 'value' cannot be converted to a 'type' (use 'unchecked' syntax to override)	Error	https://msdn.microsoft.com/en-us/library/ba957h9x(v=vs.90).aspx
C# Compiler	CS0225	ParamsMustBeArray	The params parameter must be a single dimensional array	Error	https://msdn.microsoft.com/en-us/library/b7b6chzd(v=vs.90).aspx
C# Compiler	CS0226	IllegalArglist	An __arglist expression may only appear inside of a call or new expression.	Error	https://msdn.microsoft.com/en-us/library/bb384147(v=vs.90).aspx
C# Compiler	CS0227	IllegalUnsafe	Unsafe code may only appear if compiling with /unsafe	Error	https://msdn.microsoft.com/en-us/library/ezb5hwx9(v=vs.90).aspx
C# Compiler	CS0228	NoAccessibleMember	'type' does not contain a definition for 'member', or it is not accessible	Error	https://msdn.microsoft.com/en-us/library/3fks5s8c(v=vs.90).aspx
C# Compiler	CS0229	AmbigMember	Ambiguity between 'member1' and 'member2'	Error	https://msdn.microsoft.com/en-us/library/7z6zzyh1(v=vs.90).aspx
C# Compiler	CS0230	BadForeachDecl	Type and identifier are both required in a foreach statement	Error	https://msdn.microsoft.com/en-us/library/a4t7ts2f(v=vs.90).aspx
C# Compiler	CS0231	ParamsLast	A params parameter must be the last parameter in a formal parameter list.	Error	https://msdn.microsoft.com/en-us/library/5t8f57yd(v=vs.90).aspx
C# Compiler	CS0233	SizeofUnsafe	'identifier' does not have a predefined size, therefore sizeof can only be used in an unsafe context (consider using System.Runtime.InteropServices.Marshal.SizeOf)	Error	https://msdn.microsoft.com/en-us/library/kh2sh4dh(v=vs.90).aspx
C# Compiler	CS0234	DottedTypeNameNotFoundInNS	The type or namespace name 'name' does not exist in the namespace 'namespace' (are you missing an assembly reference?)	Error	https://msdn.microsoft.com/en-us/library/0e92xd7b(v=vs.90).aspx
C# Compiler	CS0236	FieldInitRefNonstatic	A field initializer cannot reference the nonstatic field, method, or property 'field'	Error	https://msdn.microsoft.com/en-us/library/5724t6za(v=vs.90).aspx
C# Compiler	CS0238	SealedNonOverride	'member' cannot be sealed because it is not an override	Error	https://msdn.microsoft.com/en-us/library/8ahbbcft(v=vs.90).aspx
C# Compiler	CS0239	CantOverrideSealed	'member' : cannot override inherited member 'inherited member' because it is sealed	Error	https://msdn.microsoft.com/en-us/library/164wytdc(v=vs.90).aspx
C# Compiler	CS0241	NoDefaultArgs	Default parameter specifiers are not permitted	Error	https://msdn.microsoft.com/en-us/library/294000kk(v=vs.90).aspx
C# Compiler	CS0242	VoidError	The operation in question is undefined on void pointers	Error	https://msdn.microsoft.com/en-us/library/dhyat531(v=vs.90).aspx
C# Compiler	CS0243	ConditionalOnOverride	The Conditional attribute is not valid on 'method' because it is an override method	Error	https://msdn.microsoft.com/en-us/library/9w0x3zc9(v=vs.90).aspx
C# Compiler	CS0244	PointerInAsOrIs	Neither 'is' nor 'as' is valid on pointer types	Error	https://msdn.microsoft.com/en-us/library/at1ad4c1(v=vs.90).aspx
C# Compiler	CS0245	CallingFinalizeDeprecated	Destructors and object.Finalize cannot be called directly. Consider calling IDisposable.Dispose if available.	Error	https://msdn.microsoft.com/en-us/library/1xdkc6xx(v=vs.90).aspx
C# Compiler	CS0246	SingleTypeNameNotFound	The type or namespace name 'type/namespace' could not be found (are you missing a using directive or an assembly reference?)	Error	https://msdn.microsoft.com/en-us/library/w7xf6dxs(v=vs.90).aspx
C# Compiler	CS0247	NegativeStackAllocSize	Cannot use a negative size with stackalloc	Error	https://msdn.microsoft.com/en-us/library/19179by9(v=vs.90).aspx
C# Compiler	CS0248	NegativeArraySize	Cannot create an array with a negative size	Error	https://msdn.microsoft.com/en-us/library/173bhe77(v=vs.90).aspx
C# Compiler	CS0249	OverrideFinalizeDeprecated	Do not override object.Finalize. Instead, provide a destructor.	Error	https://msdn.microsoft.com/en-us/library/kesdz2yt(v=vs.90).aspx
C# Compiler	CS0250	CallingBaseFinalizeDeprecated	Do not directly call your base class Finalize method. It is called automatically from your destructor.	Error	https://msdn.microsoft.com/en-us/library/3dha2h4c(v=vs.90).aspx
C# Compiler	CS0251	NegativeArrayIndex	Indexing an array with a negative index (array indices always start at zero)	Warning (level 2)	https://msdn.microsoft.com/en-us/library/y2zwz8ah(v=vs.90).aspx
C# Compiler	CS0252	BadRefCompareLeft	Possible unintended reference comparison; to get a value comparison, cast the left hand side to type 'type'	Warning (level 2)	https://msdn.microsoft.com/en-us/library/f6dtw2ah(v=vs.90).aspx
C# Compiler	CS0253	BadRefCompareRight	Possible unintended reference comparison; to get a value comparison, cast the right hand side to type 'type'	Warning (level 2)	https://msdn.microsoft.com/en-us/library/etywy2s3(v=vs.90).aspx
C# Compiler	CS0254	BadCastInFixed	The right hand side of a fixed statement assignment may not be a cast expression	Error	https://msdn.microsoft.com/en-us/library/17k5z18c(v=vs.90).aspx
C# Compiler	CS0255	StackallocInCatchFinally	stackalloc may not be used in a catch or finally block	Error	https://msdn.microsoft.com/en-us/library/hc98h944(v=vs.90).aspx
C# Compiler	CS0260	MissingPartial	Missing partial modifier on declaration of type 'type'; another partial declaration of this type exists	Error	https://msdn.microsoft.com/en-us/library/588zwc2k(v=vs.90).aspx
