Program	Code	Mnemonic	Summary	Severity	HelpLink
Visual C++: Resource Compiler	RC2114		expected control class name	Error	http://msdn.microsoft.com/en-us/library/92st8kcy.aspx
Visual C++: Resource Compiler	RC2116		expecting number for ID	Error	http://msdn.microsoft.com/en-us/library/170xsdb7.aspx
Visual C++: Resource Compiler	RC2122		unknown menu subtype	Error	http://msdn.microsoft.com/en-us/library/0b90c6k6.aspx
Visual C++: Resource Compiler	RC2124		empty menus not allowed	Error	http://msdn.microsoft.com/en-us/library/ka75tc94.aspx
Visual C++: Resource Compiler	RC2127		version WORDs separated by commas expected	Error	http://msdn.microsoft.com/en-us/library/s7zextb2.aspx
Visual C++: Resource Compiler	RC2135		file not found: filename	Error	http://msdn.microsoft.com/en-us/library/wadas537.aspx
Visual C++: Resource Compiler	RC2144		PRIMARY LANGUAGE ID not a number	Error	http://msdn.microsoft.com/en-us/library/f7096759.aspx
Visual C++: Resource Compiler	RC2147		SUBLANGUAGE ID not a number	Error	http://msdn.microsoft.com/en-us/library/ftkw0dty.aspx
Visual C++: Resource Compiler	RC2148		SUBLANGUAGE ID too large	Error	http://msdn.microsoft.com/en-us/library/h50h145c.aspx
Visual C++: Resource Compiler	RC2151		cannot re-use string constants	Error	http://msdn.microsoft.com/en-us/library/6tazh8b9.aspx
Visual C++: Resource Compiler	RC2152		invalid control character	Error	http://msdn.microsoft.com/en-us/library/9b44yf9e.aspx
Visual C++: Resource Compiler	RC2162		expected macro formal parameter	Error	http://msdn.microsoft.com/en-us/library/7k2tah97.aspx
Visual C++: Resource Compiler	RC2163		accelerator type required [ASCII or VIRTKEY]	Error	http://msdn.microsoft.com/en-us/library/0445sws4.aspx
Visual C++: Resource Compiler	RC2164		unexpected value in RCDATA	Error	http://msdn.microsoft.com/en-us/library/hsfyk407.aspx
Visual C++: Resource Compiler	RC2165		string not found in DLGINCLUDE statement	Error	http://msdn.microsoft.com/en-us/library/45attskt.aspx
Visual C++: Resource Compiler	RC2167		unrecognized VERSIONINFO field; BEGIN or comma expected	Error	http://msdn.microsoft.com/en-us/library/974be3ss.aspx
Visual C++: Resource Compiler	RC2169		resource file filename is not in 2.03 format	Error	http://msdn.microsoft.com/en-us/library/kt03a0wy.aspx
Visual C++: Resource Compiler	RC2170		bitmap file filename is not in 3.00 format	Error	http://msdn.microsoft.com/en-us/library/d4ad7d2t.aspx
Visual C++: Resource Compiler	RC2171		unknown DIB header format	Error	http://msdn.microsoft.com/en-us/library/2888scfs.aspx
Visual C++: Resource Compiler	RC2175		resource file filename is not in 3.00 format	Error	http://msdn.microsoft.com/en-us/library/s49y5a1h.aspx
Visual C++: Resource Compiler	RC4002		too many actual parameters for macro 'identifier'	Warning	http://msdn.microsoft.com/en-us/library/844zsh0w.aspx
Visual C++: Resource Compiler	RC4005		'identifier' : macro redefinition	Warning	http://msdn.microsoft.com/en-us/library/8hhdcbsa.aspx
Visual C++: Resource Compiler	RC4093		unescaped newline in character constant in inactive code	Warning	http://msdn.microsoft.com/en-us/library/0c2x045d.aspx
Visual C++: Resource Compiler	RC4214		Codepage not valid : ignored	Warning	http://msdn.microsoft.com/en-us/library/zw4d5y0y.aspx
Visual C++: Resource Compiler	RW1004		Unexpected end of file	Fatal Error	http://msdn.microsoft.com/en-us/library/f3ez0t6f.aspx
Visual C++: Resource Compiler	RW1009		Error creating resource-name	Fatal Error	http://msdn.microsoft.com/en-us/library/4h5kfeze.aspx
Visual C++: Resource Compiler	RW1016		RC terminating after preprocessor errors	Fatal Error	http://msdn.microsoft.com/en-us/library/c26a6xwb.aspx
Visual C++: Resource Compiler	RW1023		I/O error writing file, drive full	Fatal Error	http://msdn.microsoft.com/en-us/library/w801226w.aspx
Visual C++: Resource Compiler	RW1025		Out of far heap memory	Fatal Error	http://msdn.microsoft.com/en-us/library/d1zttzk4.aspx
Visual C++: Resource Compiler	RW1030		Output Error	Fatal Error	http://msdn.microsoft.com/en-us/library/566ta718.aspx
Visual C++: Resource Compiler	RW2001		Invalid directive in preprocessed RC file	Error	http://msdn.microsoft.com/en-us/library/9z2kf18k.aspx
Visual C++: Resource Compiler	RW2002		Parsing error	Error	http://msdn.microsoft.com/en-us/library/2tecz7k6.aspx
Visual C++: Resource Compiler	RW2003		Generation Error	Error	http://msdn.microsoft.com/en-us/library/x5f35yaf.aspx
Visual C++: Resource Compiler	RW4001		.EXE processing options (/L /M /P /T /K /E /31 or /30)	Warning	http://msdn.microsoft.com/en-us/library/a9ckby8k.aspx
Visual C++: Resource Compiler	RW4003		SHIFT or CONTROL used without VIRTKEY	Warning	http://msdn.microsoft.com/en-us/library/3fy2744z.aspx
Visual C++: Resource Compiler	RW4004		ASCII character not equivalent to virtual key code	Warning	http://msdn.microsoft.com/en-us/library/w2f05xy8.aspx
